period,AAVE-USD,ANKR-USD,AXS-USD,BAND-USD,BCH-USD,BNB-USD,C98-USD,CAKE-USD,CDT-USD,CELO-USD,CFX-USD,CRV-USD,CUSDT-USD,DEL-USD,ENS-USD,FIL-USD,FRXETH-USD,GLM-USD,GUSD-USD,HIVE-USD,HOT-USD,ICX-USD,INJ-USD,JASMY-USD,KAVA-USD,KNC-USD,KRD-USD,LINK-USD,LRC-USD,LTC-USD,MANA-USD,MC-USD,MKR-USD,POLYX-USD,PUNDIX-USD,QTUM-USD,SETH2-USD,SFRXETH-USD,SHIB-USD,SNT-USD,STX-USD,SXP-USD,TFUEL-USD,THETA-USD,TRB-USD,USTC-USD,WBTC-USD,WCFG-USD,WEMIX-USD,ZEC-USD
2020-10-01,,0.007145999930799007,,4.330377101898193,261.75823974609375,28.431215286254883,,0.39775800704956055,,1.617661952972412,,0.4164949953556061,0.02032800018787384,,,31.146846771240234,,0.07758600264787674,0.9963030219078064,0.1132970005273819,0.004124999977648258,0.3161369860172272,,,1.442214012145996,,,11.22083854675293,0.1390320062637329,55.59025955200195,0.06520900130271912,,523.309326171875,,,1.9662339687347412,,,0.0,0.021076999604701996,0.16026300191879272,0.8209750056266785,0.00931399967521429,0.6104919910430908,20.60288429260254,,13715.396484375,,,58.122684478759766
2020-11-01,76.4195327758789,0.009541000239551067,,6.224185943603516,316.4201965332031,31.392786026000977,,0.3494899868965149,,1.8327139616012573,,0.6755369901657104,0.020413000136613846,,,30.371749877929688,,0.11928900331258774,1.002724051475525,0.1231909990310669,0.004137000069022179,0.4403490126132965,1.1881370544433594,,1.674353003501892,,,14.225639343261719,0.1960510015487671,87.57463073730469,0.08805199712514877,,559.0894165039062,,,2.927069902420044,,,0.0,0.043150000274181366,0.24070699512958527,0.9767600297927856,0.009699000045657158,0.6411749720573425,26.093950271606445,,19619.04296875,,0.3017989993095398,78.12843322753906
2020-12-01,87.52748107910156,0.008421000093221664,0.538320004940033,5.340259075164795,343.0526428222656,37.376033782958984,,0.624023973941803,,1.4776099920272827,0.13460899889469147,0.6283310055732727,0.02049499936401844,,,24.35386848449707,,0.11163599789142609,0.9963380098342896,0.11497300118207932,0.0031850000377744436,0.46470099687576294,4.072787761688232,,1.2953540086746216,,,11.270538330078125,0.16979999840259552,124.69032287597656,0.07825099676847458,,586.9552612304688,,,2.2327818870544434,,,0.0,0.030926000326871872,0.3961769938468933,0.741553008556366,0.03335399925708771,1.8611619472503662,17.78118133544922,0.9973040223121643,28977.744140625,,0.21019700169563293,63.989376068115234
2021-01-01,300.06256103515625,0.011528999544680119,0.805305004119873,9.011116981506348,399.7699279785156,44.27599334716797,,1.9767910242080688,,2.807573080062866,0.2299100011587143,2.5246050357818604,0.02070399932563305,,,22.27235984802246,,0.11515499651432037,1.0017880201339722,0.13956500589847565,0.006037999875843525,0.723701000213623,9.542411804199219,,2.2240209579467773,,,22.598434448242188,0.4951210021972656,129.57081604003906,0.1547050029039383,,1480.80908203125,,,3.2764699459075928,,,0.0,0.0484750010073185,0.4287729859352112,1.3488399982452393,0.02779100090265274,1.9125410318374634,29.981603622436523,1.04208505153656,33085.08203125,,0.16047599911689758,85.73783874511719
2021-02-01,344.8699951171875,0.026193000376224518,1.3958200216293335,11.805936813354492,459.91448974609375,209.57440185546875,,9.331332206726074,,3.81646990776062,0.5193629860877991,1.7592990398406982,0.02090900018811226,,,35.991943359375,,0.3237859904766083,1.0026229619979858,0.3057590126991272,0.014000000432133675,1.39273202419281,12.134520530700684,,3.366163969039917,,,24.663532257080078,0.5176609754562378,164.9271697998047,0.23622600734233856,,2029.310791015625,,,4.844973087310791,,,0.0,0.07999800145626068,0.9323130249977112,1.9869450330734253,0.09213999658823013,3.130584955215454,31.442092895507812,1.001289963722229,45290.67578125,,0.14862899482250214,109.71210479736328
2021-03-01,377.0081481933594,0.16102400422096252,5.697309970855713,16.71938133239746,543.2378540039062,302.0634460449219,,18.044340133666992,,4.635746002197266,1.1198019981384277,3.127748966217041,0.020986000075936317,,,191.35655212402344,,0.6634529829025269,1.016319990158081,0.788221001625061,0.02712699957191944,3.119818925857544,12.841597557067871,1.8813029527664185,6.117057800292969,,,29.351137161254883,0.5474309921264648,197.4990997314453,1.02742600440979,,2103.505859375,,,9.43036937713623,,,0.0,0.14336399734020233,1.218951940536499,3.5645179748535156,0.41754400730133057,12.367094993591309,78.92529296875,1.0003650188446045,59067.0078125,,0.8504859805107117,156.9161376953125
2021-04-01,444.7287902832031,0.1772869974374771,10.184638023376465,17.1737117767334,993.4256591796875,624.08056640625,,40.89231872558594,,5.397057056427002,0.9988740086555481,3.3353490829467773,0.0210999995470047,,,163.8935546875,,0.4649209976196289,1.0080150365829468,0.6549080014228821,0.021754000335931778,2.5995841026306152,21.666072845458984,1.2146650552749634,5.611669063568115,,,38.12850570678711,0.5609250068664551,271.1670837402344,1.4867990016937256,,4355.27294921875,,,15.010007858276367,,,1.9999999949504854e-06,0.18060000240802765,2.184009075164795,5.249532222747803,0.35791701078414917,11.189316749572754,84.21460723876953,0.9994189739227295,57880.62890625,,0.6236580014228821,245.43064880371094
2021-05-01,383.0834045410156,0.10651099681854248,4.95019006729126,8.99703311920166,703.882568359375,354.329345703125,,17.94778823852539,,3.4947710037231445,0.40819698572158813,1.9650260210037231,0.021201999858021736,,,72.69061279296875,,0.31042298674583435,1.0083940029144287,0.43367800116539,0.009589999914169312,1.1376429796218872,9.379965782165527,0.9853289723396301,3.6038079261779785,,,32.088584899902344,0.3688960075378418,188.03367614746094,0.8507329821586609,,3592.2978515625,,1.7183140516281128,12.421453475952148,,,9.000000318337698e-06,0.09695500135421753,0.9982730150222778,2.122101068496704,0.34033098816871643,7.127231121063232,62.71148681640625,0.9987800121307373,37391.8203125,,0.2995550036430359,162.24822998046875
2021-06-01,250.385498046875,0.0792199969291687,5.681056022644043,5.946674823760986,526.2958374023438,303.2958679199219,,13.849677085876465,,3.0923280715942383,0.2520250082015991,1.8153389692306519,0.021229999139904976,,,60.372554779052734,,0.30000001192092896,0.9985160231590271,0.3080359995365143,0.00635500019416213,0.8362600207328796,6.924139976501465,0.01590000092983246,4.2053070068359375,,,19.497236251831055,0.26774001121520996,144.13583374023438,0.5800229907035828,,2668.58203125,,1.163807988166809,7.6801371574401855,,,9.000000318337698e-06,0.07884199917316437,0.7904239892959595,2.0264570713043213,0.4113140106201172,6.913777828216553,40.349342346191406,1.0000829696655273,35090.36328125,,0.1866379976272583,130.82247924804688
2021-07-01,331.0182800292969,0.0853940024971962,42.6602897644043,6.5167999267578125,547.8032836914062,333.5495910644531,,16.0192928314209,,2.764930009841919,0.21509100496768951,1.7135820388793945,0.021268999204039574,,,52.200218200683594,,0.40026599168777466,0.9973649978637695,0.4225029945373535,0.00912499986588955,1.0031089782714844,7.097287178039551,0.015626000240445137,5.252579212188721,,,22.75370216369629,0.25265398621559143,144.93321228027344,0.7191920280456543,,2987.255126953125,,1.4854639768600464,8.01301383972168,,,6.000000212225132e-06,0.08246900141239166,1.269423007965088,2.160875082015991,0.3291589915752411,6.106616020202637,40.729190826416016,1.0011030435562134,41713.5625,,0.24115200340747833,111.65145874023438
